,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
113,fairbanks,264.15,85,-147.72,64.84,90,US,1.0,1603220132
114,esperance,287.15,100,121.9,-33.87,90,AU,4.6,1603220281
115,rawson,287.16,40,-65.1,-43.3,100,AR,7.42,1603220281
116,shimoda,285.93,81,138.95,34.67,8,JP,1.34,1603220281
117,zhezkazgan,282.2,35,67.71,47.8,0,KZ,2.57,1603220281
118,te anau,275.89,83,167.72,-45.42,22,NZ,0.53,1603220282
119,butaritari,300.78,76,172.79,3.07,100,KI,5.43,1603220282
120,cidreira,295.39,80,-50.21,-30.18,16,BR,4.38,1603220282
121,valparaiso,293.15,64,-71.63,-33.04,0,CL,6.2,1603220282
122,tarko-sale,270.96,98,77.78,64.92,100,RU,3.34,1603220282
123,dunedin,282.59,85,170.5,-45.87,100,NZ,2.54,1603220154
124,hami,280.09,54,93.45,42.8,0,CN,0.78,1603220282
125,thinadhoo,301.35,77,72.93,0.53,100,MV,5.34,1603220283
126,wagar,302.89,32,36.2,16.15,0,SD,7.17,1603220283
127,torit,296.2,87,32.57,4.41,100,SS,1.25,1603220283
128,umm lajj,301.2,48,37.27,25.02,0,SA,2.48,1603220283
129,nanakuli,301.15,83,-158.15,21.39,75,US,6.2,1603220284
130,tuatapere,279.26,93,167.68,-46.13,29,NZ,1.34,1603220284
131,ghanzi,301.02,15,21.78,-21.57,3,BW,3.77,1603220284
132,hilo,299.26,60,-155.09,19.73,1,US,3.1,1603219984
133,asau,278.15,93,26.4,46.43,0,RO,1.0,1603220284
134,verkhoyansk,260.44,91,133.38,67.54,84,RU,1.7,1603220284
135,geraldton,292.15,72,114.6,-28.77,90,AU,7.2,1603220284
136,namibe,294.0,80,12.15,-15.2,90,AO,1.83,1603220284
137,lilongwe,298.04,37,33.79,-13.97,0,MW,3.83,1603220284
138,bosanska gradiska,281.15,93,17.25,45.14,0,BA,1.47,1603220284
139,itarema,301.55,64,-39.92,-2.92,42,BR,9.33,1603220285
140,saint-philippe,295.37,78,55.77,-21.36,33,RE,1.5,1603220285
141,libreville,299.15,94,9.45,0.39,75,GA,5.1,1603220202
142,zamora,303.15,37,-78.96,-4.07,75,EC,1.5,1603220285
143,lufkin,303.71,58,-94.73,31.34,40,US,4.6,1603220285
144,codrington,280.16,90,141.97,-38.27,82,AU,1.54,1603220285
145,flinders,289.26,88,150.86,-34.58,7,AU,0.45,1603220285
146,nsoko,293.39,73,31.95,-27.03,100,SZ,6.3,1603220285
147,oxelosund,282.15,93,17.1,58.67,75,SE,4.1,1603220286
148,belle fourche,279.82,86,-103.85,44.67,97,US,5.1,1603220286
149,cotonou,300.15,88,2.42,6.37,40,BJ,5.1,1603220286
150,richards bay,293.59,75,32.04,-28.78,97,ZA,5.49,1603220286
151,tyukalinsk,282.26,60,72.2,55.87,100,RU,5.5,1603220286
152,norman wells,266.15,85,-126.83,65.28,75,CA,4.1,1603220286
153,druzhba,278.43,70,33.95,52.04,95,UA,3.92,1603220286
154,pevek,272.46,95,170.31,69.7,100,RU,8.88,1603220286
155,poso,297.94,75,120.75,-1.4,88,ID,2.14,1603220286
156,airai,288.93,74,125.41,-8.93,100,TL,0.6,1603220287
157,maridi,293.37,89,29.47,4.92,100,SS,0.87,1603220287
158,chuy,286.06,82,-53.46,-33.7,100,UY,6.99,1603220287
159,vardo,276.15,74,31.11,70.37,40,NO,3.6,1603220287
160,athabasca,271.74,86,-113.29,54.72,4,CA,2.88,1603220287
161,kayasula,284.54,64,45.0,44.33,79,RU,0.79,1603220287
162,sorkjosen,273.28,90,20.93,69.8,6,NO,4.28,1603220287
163,manhush,282.04,100,37.31,47.06,0,UA,4.02,1603220287
164,kamuli,291.87,96,33.12,0.95,56,UG,1.17,1603220287
165,aklavik,268.15,85,-135.01,68.22,90,CA,6.7,1603220288
166,hithadhoo,301.4,78,73.08,-0.6,99,MV,5.84,1603220288
167,kimbe,296.82,85,150.14,-5.55,100,PG,1.71,1603220288
168,puerto carreno,306.94,49,-67.49,6.19,99,CO,0.76,1603220288
169,paita,298.15,69,-81.11,-5.09,21,PE,6.7,1603220288
170,gambo,295.41,96,22.26,4.65,100,CF,2.08,1603220288
171,verkhnyaya inta,267.04,97,60.31,65.98,96,RU,1.18,1603220288
172,sakakah,297.15,12,40.21,29.97,0,SA,2.6,1603220288
173,garmsar,291.5,28,52.34,35.22,0,IR,3.43,1603220288
174,beringovskiy,277.87,88,179.32,63.05,98,RU,5.4,1603220289
175,augusto correa,303.57,59,-46.63,-1.02,57,BR,4.34,1603220289
176,comodoro rivadavia,285.15,56,-67.5,-45.87,0,AR,7.7,1603220156
177,college,264.15,78,-147.8,64.86,90,US,0.35,1603220289
178,kaura namoda,302.69,25,6.58,12.59,0,NG,1.96,1603220289
179,inhambane,296.7,87,35.38,-23.86,0,MZ,4.8,1603220289
180,talnakh,259.15,84,88.4,69.49,75,RU,2.0,1603220290
181,havoysund,272.15,92,24.66,71.0,40,NO,2.6,1603220290
182,miles city,275.15,74,-105.84,46.41,90,US,7.7,1603220290
183,cockburn town,303.15,58,-71.14,21.46,40,TC,3.6,1603220290
184,awbari,296.48,40,12.78,26.59,56,LY,4.27,1603220290
185,bambous virieux,297.59,73,57.76,-20.34,20,MU,4.6,1603220106
186,coquimbo,289.15,67,-71.34,-29.95,0,CL,8.2,1603219996
187,dongning,280.16,74,131.12,44.06,100,CN,0.62,1603220291
188,isangel,294.15,94,169.27,-19.55,75,VU,4.59,1603220139
189,siavonga,302.53,28,28.71,-16.54,0,ZM,2.59,1603220291
190,portland,289.26,76,-122.68,45.52,75,US,2.6,1603220209
191,san cristobal,304.15,58,-72.22,7.77,40,VE,6.2,1603220292
192,meadow lake,298.71,13,-106.54,34.8,40,US,2.46,1603220049
193,ambilobe,297.84,75,49.05,-13.2,1,MG,1.32,1603220292
194,los llanos de aridane,297.15,73,-17.92,28.66,20,ES,6.2,1603220292
195,lyuban,277.81,86,28.0,52.8,95,BY,2.37,1603220293
196,birjand,281.15,8,59.22,32.87,0,IR,3.1,1603220293
197,jalu,296.45,54,21.55,29.03,0,LY,5.63,1603220293
198,clyde river,272.15,74,-68.59,70.47,1,CA,5.7,1603220293
199,lagoa,290.71,68,-27.98,39.05,13,PT,12.38,1603220293
